cancer,track,eval_mode,modality,selected_model,overfit_warning,overfit_severe
luad,2A_numeric,groupcv,Graph,GraphSAGE,False,False
luad,2A_numeric,holdout,ML,XGBoost,False,False
luad,2A_numeric,holdout,DL,ResidualMLP,False,False
luad,2A_numeric,holdout,Graph,GraphSAGE,False,False
luad,2A_numeric,scaffoldcv,ML,XGBoost,False,False
luad,2A_numeric,scaffoldcv,DL,ResidualMLP,False,False
luad,2A_numeric,scaffoldcv,Graph,GraphSAGE,False,False
luad,2A_numeric,unseen_drug,ML,XGBoost,False,False
luad,2A_numeric,unseen_drug,DL,ResidualMLP,False,False
luad,2A_numeric,unseen_drug,Graph,GraphSAGE,False,False
luad,2B_numeric_smiles,cv,ML,XGBoost,False,False
luad,2B_numeric_smiles,cv,DL,ResidualMLP,False,False
luad,2B_numeric_smiles,groupcv,ML,XGBoost,True,False
luad,2B_numeric_smiles,groupcv,DL,ResidualMLP,True,False
luad,2B_numeric_smiles,holdout,ML,XGBoost,False,False
luad,2B_numeric_smiles,holdout,DL,ResidualMLP,False,False
luad,2B_numeric_smiles,scaffoldcv,ML,XGBoost,True,False
luad,2B_numeric_smiles,scaffoldcv,DL,ResidualMLP,True,False
luad,2B_numeric_smiles,unseen_drug,ML,XGBoost,True,False
luad,2B_numeric_smiles,unseen_drug,DL,ResidualMLP,True,False
luad,2C_numeric_smiles_context,cv,ML,XGBoost,False,False
luad,2C_numeric_smiles_context,cv,DL,ResidualMLP,False,False
luad,2C_numeric_smiles_context,groupcv,ML,XGBoost,True,False
luad,2C_numeric_smiles_context,groupcv,DL,ResidualMLP,True,False
luad,2C_numeric_smiles_context,holdout,ML,XGBoost,False,False
luad,2C_numeric_smiles_context,holdout,DL,ResidualMLP,False,False
luad,2C_numeric_smiles_context,scaffoldcv,ML,XGBoost,True,False
luad,2C_numeric_smiles_context,scaffoldcv,DL,ResidualMLP,True,True
luad,2C_numeric_smiles_context,unseen_drug,ML,XGBoost,True,False
luad,2C_numeric_smiles_context,unseen_drug,DL,ResidualMLP,True,False
stad,2A_numeric,cv,ML,XGBoost,False,False
stad,2A_numeric,cv,DL,ResidualMLP,False,False
stad,2A_numeric,cv,Graph,GraphSAGE,False,False
stad,2A_numeric,groupcv,ML,XGBoost,False,False
stad,2A_numeric,groupcv,DL,ResidualMLP,False,False
stad,2A_numeric,groupcv,Graph,GraphSAGE,False,False
stad,2A_numeric,holdout,ML,XGBoost,False,False
stad,2A_numeric,holdout,DL,ResidualMLP,False,False
stad,2A_numeric,holdout,Graph,GraphSAGE,False,False
stad,2A_numeric,scaffoldcv,ML,XGBoost,False,False
stad,2A_numeric,scaffoldcv,DL,ResidualMLP,False,False
stad,2A_numeric,scaffoldcv,Graph,GraphSAGE,False,False
stad,2A_numeric,unseen_drug,ML,XGBoost,False,False
stad,2A_numeric,unseen_drug,DL,ResidualMLP,False,False
stad,2A_numeric,unseen_drug,Graph,GraphSAGE,False,False
stad,2B_numeric_smiles,cv,ML,XGBoost,False,False
stad,2B_numeric_smiles,cv,DL,ResidualMLP,False,False
stad,2B_numeric_smiles,cv,Graph,GraphSAGE,False,False
stad,2B_numeric_smiles,groupcv,ML,XGBoost,True,False
stad,2B_numeric_smiles,groupcv,DL,ResidualMLP,True,False
stad,2B_numeric_smiles,groupcv,Graph,GraphSAGE,True,True
stad,2B_numeric_smiles,holdout,ML,XGBoost,False,False
stad,2B_numeric_smiles,holdout,DL,ResidualMLP,False,False
stad,2B_numeric_smiles,holdout,Graph,GraphSAGE,False,False
stad,2B_numeric_smiles,scaffoldcv,ML,XGBoost,True,False
stad,2B_numeric_smiles,scaffoldcv,DL,ResidualMLP,True,True
stad,2B_numeric_smiles,scaffoldcv,Graph,GraphSAGE,True,True
stad,2B_numeric_smiles,unseen_drug,ML,XGBoost,True,False
stad,2B_numeric_smiles,unseen_drug,DL,ResidualMLP,True,False
stad,2B_numeric_smiles,unseen_drug,Graph,GraphSAGE,True,False
stad,2C_numeric_smiles_context,cv,ML,XGBoost,False,False
stad,2C_numeric_smiles_context,cv,DL,ResidualMLP,False,False
stad,2C_numeric_smiles_context,cv,Graph,GraphSAGE,False,False
stad,2C_numeric_smiles_context,groupcv,ML,XGBoost,True,False
stad,2C_numeric_smiles_context,groupcv,DL,ResidualMLP,True,False
stad,2C_numeric_smiles_context,groupcv,Graph,GraphSAGE,True,False
stad,2C_numeric_smiles_context,holdout,ML,XGBoost,False,False
stad,2C_numeric_smiles_context,holdout,DL,ResidualMLP,False,False
stad,2C_numeric_smiles_context,holdout,Graph,GraphSAGE,False,False
stad,2C_numeric_smiles_context,scaffoldcv,ML,XGBoost,True,False
stad,2C_numeric_smiles_context,scaffoldcv,DL,ResidualMLP,True,True
stad,2C_numeric_smiles_context,scaffoldcv,Graph,GraphSAGE,True,False
stad,2C_numeric_smiles_context,unseen_drug,ML,XGBoost,True,False
stad,2C_numeric_smiles_context,unseen_drug,DL,ResidualMLP,True,False
stad,2C_numeric_smiles_context,unseen_drug,Graph,GraphSAGE,True,False
