cancer,track,eval_mode,modality,selected_model,base_weight,effective_weight,overfit_warning,overfit_severe,prediction_format,combo_dir
brca,2C_numeric_smiles_context,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/ResidualMLP/holdout
brca,2C_numeric_smiles_context,holdout,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2C_numeric_smiles_context/GraphSAGE/holdout
brca,2C_numeric_smiles_context,scaffoldcv,ML,XGBoost,0.5530381943191341,0.2765190971595671,True,True,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/XGBoost/scaffoldcv
brca,2C_numeric_smiles_context,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/ResidualMLP/scaffoldcv
brca,2C_numeric_smiles_context,scaffoldcv,Graph,GraphSAGE,0.4239427574069187,0.21197137870345936,True,True,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2C_numeric_smiles_context/GraphSAGE/scaffoldcv
brca,2C_numeric_smiles_context,unseen_drug,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/XGBoost/unseen_drug
brca,2C_numeric_smiles_context,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/ResidualMLP/unseen_drug
brca,2C_numeric_smiles_context,unseen_drug,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2C_numeric_smiles_context/GraphSAGE/unseen_drug
crc,2A_numeric,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2A_numeric/XGBoost/cv
crc,2A_numeric,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/crc/2A_numeric/ResidualMLP/cv
crc,2A_numeric,cv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/crc/2A_numeric/GraphSAGE/cv
crc,2A_numeric,groupcv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2A_numeric/XGBoost/groupcv
crc,2A_numeric,groupcv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/crc/2A_numeric/ResidualMLP/groupcv
crc,2A_numeric,groupcv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/crc/2A_numeric/GraphSAGE/groupcv
crc,2A_numeric,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/crc/2A_numeric/XGBoost/holdout
crc,2A_numeric,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/crc/2A_numeric/ResidualMLP/holdout
crc,2A_numeric,holdout,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/crc/2A_numeric/GraphSAGE/holdout
